16/01/2015 20:49:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 20:56:35 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:04:30 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:04:30 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:04:30 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:04:30 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:04:30 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:04:30 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:04:30 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:04:30 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:04:30 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:04:30 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:04:30 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:04:30 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:06:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:06:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:06:53 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:06:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:06:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:06:53 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:08:39 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:08:39 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:08:39 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:08:39 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:08:39 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:08:39 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:08:45 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:08:45 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:08:45 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
16/01/2015 21:08:45 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
16/01/2015 21:08:45 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
16/01/2015 21:08:45 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:07:08 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:07:08 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:07:08 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:07:08 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:07:08 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:07:08 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:07:08 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:07:08 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:07:08 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:07:13 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:07:13 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:07:13 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:08:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:08:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:08:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:09:44 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:09:44 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:09:44 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:09:46 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:09:46 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:09:46 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:09:49 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:09:49 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:09:49 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:09:50 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:09:50 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:09:50 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:20:37 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:20:37 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:20:37 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:22:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:22:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:22:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:22:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:22:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:22:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:22:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:22:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:22:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:22:23 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:22:23 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:22:23 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:22:25 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:22:25 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:22:25 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:16 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:16 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:16 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:16 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:16 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:16 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:17 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:17 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:17 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:17 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:17 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:17 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:18 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:18 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:18 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:18 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:18 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:18 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:19 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:19 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:19 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:19 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:19 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:19 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:20 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:20 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:20 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:20 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:20 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:20 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:23:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:23:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:23:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:48 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:48 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:48 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:56 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:56 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:56 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:43:56 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:43:56 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:43:56 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:03 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:03 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:03 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:03 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:03 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:03 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:03 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:03 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:03 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:03 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:03 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:03 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:09 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:09 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:09 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:10 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:10 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:10 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:10 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:10 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:10 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:12 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:12 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:12 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:12 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:12 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:12 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:12 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:12 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:12 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:17 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:17 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:17 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:17 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:17 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:17 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:17 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:17 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:17 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:18 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:18 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:18 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:18 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:18 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:18 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:18 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:18 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:18 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:21 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:21 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:21 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:21 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:21 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:21 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:21 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:21 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:21 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:22 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:22 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:22 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:31 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:31 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:31 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:46 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:46 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:46 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:47 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:47 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:47 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:47 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:47 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:47 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:47 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:47 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:47 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:47 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:47 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:47 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:47 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:47 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:47 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:53 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:53 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
17/01/2015 13:44:53 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
17/01/2015 13:44:53 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
17/01/2015 13:44:53 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
